id,genre,track_name,artist_name,valence,energy
3aE0O99WPzRZ0UeSX9Boan,afrobeat,Tonight,Burna Boy,0.711,0.624
5b4rpBJl0kteyR4Jk2ZrhQ,afrobeat,Gomni,Ali Farka Touré,0.7,0.393
78cf9pAmzyaHLQJtUfWiZ4,afrobeat,Pépé Kalle,Wendo Kolosoy,0.866,0.472
3Yf8sVkFXThHDtkqtSNbpZ,afrobeat,Kukere,Iyanya,0.965,0.853
3GXTBnN7GLZlrhs9KLQJTF,afrobeat,Seya,Oumou Sangaré,0.778,0.788
04TkfFvhhhX8zHVJqkfuuB,afrobeat,Na Oil,Egypt 80,0.473,0.708
5XWA3kJzwdjVZd9aSEOtp3,afrobeat,Takkest Tamidaret,Tinariwen,0.514,0.302
1xO2EVEOoGKPQwtVty5Ubb,afrobeat,Naweye Toro,Ali Farka Touré,0.581,0.419
6i2YA4WM3FqwyO7UX7XWbx,afrobeat,Zumba,Don Omar,0.838,0.9
78obrwKhMqymbOiW0lLidh,afrobeat,Boloko,Fatoumata Diawara,0.568,0.4
48bHibaIwJCk6bEIUyXPKW,afrobeat,Baba,Salif Keita,0.716,0.709
6VhfsXyTnRRnNX77dQO1WA,afrobeat,Shining Star,Nneka,0.532,0.595
7vzhCpNntdmzI3yop3UckE,afrobeat,Ai Du,Ali Farka Touré,0.408,0.225
7MJGB3W6xlzhuYLHcazBmy,afrobeat,Yori Yori,Various Artists,0.901,0.842
2gmpWgPvC5vap4D2YtHbEW,afrobeat,Tamiditin Tan Ufrawan,Tinariwen,0.563,0.645
4M6FuBh0zCSLFgoJ2SAWuw,afrobeat,Jama ko,Bassekou Kouyate,0.904,0.665
3l33exrFeurvriZ5kfYHvH,afrobeat,Antenna,Fuse ODG,0.849,0.949
5UGxudOejfGzdgfcPQJJ0J,afrobeat,Bandy Bandy,Zap Mama,0.732,0.532
0XI9lbqgooxei1HiqS5Ytw,afrobeat,Dance for Me (feat. Wizkid),Various Artists,0.399,0.834
1RyD0KjAXl8YqjfmM63cbu,afrobeat,Sina (Soumbouya),Salif Keita,0.779,0.8
3uS7o8y6YfH8GhqRzAwzAr,afrobeat,Twende Twende,Eric Wainaina,0.816,0.773
2waQKyhYkF4GX2Qc1OsmrD,afrobeat,Savane,Ali Farka Touré,0.509,0.279
3EREjXvpkJSZlbwdMLVpig,afrobeat,Nguva Ye Kufara,Chiwoniso,0.682,0.756
2tKqgQjnGgcPNTDViorQyU,afrobeat,Utrus Horas,Orchestra Baobab,0.617,0.266
1r8V85iUIeGJ5LOFcYbyEo,afrobeat,Umhome,Miriam Makeba,0.561,0.0278
5YgyvTZmdkIfFOnj8ri8mZ,afrobeat,Pakurumo,Wizkid,0.967,0.737
0tzvR9hZYdOBveJlgVz6Sy,afrobeat,Afro Disco Beat,Various Artists,0.866,0.682
1qt3VUPaHFjYKCldi2ClhM,afrobeat,Tekere,Salif Keita,0.959,0.896
1MN5gnxpy3GeSFoldiWwGu,afrobeat,Bissa,Fatoumata Diawara,0.735,0.701
2omKTr5vQEGXJva7vOsFOr,afrobeat,Bisso Baba (Always Together),Richard Bona,0.446,0.535
14fmbvjYLqRZEXz1VZdM2M,afrobeat,We Found Love,Rihanna,0.609,0.74
6MC0QTKf4VTZ6HWeTmNPGp,afrobeat,Tchintchirote,Cesária Evora,0.774,0.534
5AKFwJXmrUmMvH53mvWp5l,afrobeat,Wasuze Otya?,Samite,0.66,0.25
6hOTreO6Wm7Con3alDgL2i,afrobeat,Mogo Te Diya Bee Ye,Oumou Sangaré,0.709,0.498
150EtZmRZGAyY5D4khM6tf,afrobeat,Africans,Nneka,0.772,0.651
6H0nXYPj3l6aSBtq7E6zkv,afrobeat,Ye Te Oh,Papa Wemba,0.688,0.747
20WXeHOsfYYB9MVTLwNPng,afrobeat,Bane,Oliver N'Goma,0.962,0.815
1mwt9hzaH7idmC5UCoOUkz,afrobeat,Diamonds,Rihanna,0.369,0.674
2yrAD69v6rP6bZhIjs7kOy,afrobeat,Set,Youssou N'Dour,0.786,0.684
4PCW6nxrT9qxet5scL7T1L,afrobeat,Heaven,Various Artists,0.384,0.768
1yQ0Acn8X864xo7TWZETiW,afrobeat,Ashawo RMX,Various Artists,0.0,0.0
1X9xT4WXS1nURyYOur9t5m,afrobeat,Mouso niyalén,Rokia Traoré,0.83,0.337
1PuVnforHbeSrVCIktzOMb,afrobeat,Sebero,Issa Bagayogo,0.717,0.662
1SV8vGscmm8g83FFSu948l,afrobeat,Ole Buruku,P-Square,0.865,0.81
7a37qKKyo2ZrtuBxeaIMvw,afrobeat,Queen Bee,Toumani Diabaté,0.687,0.48
1MjdB0vutPGJCPLtJfYtC2,afrobeat,Wine Slow,Various Artists,0.425,0.557
2bWs6hFVGp5YvDYCW1pW0Z,afrobeat,Sexy Ladies,Various Artists,0.0,0.0
2pJKh0H5YG0ESWMytQdUQ3,afrobeat,Birima,Youssou N'Dour,0.765,0.685
4kllrpe5aqUAjBobwsbOD3,afrobeat,Ngalula,Pompom Kuleta,0.943,0.927
5unfeZUhKhICP73CDYBW4N,afrobeat,Call Me Maybe,Carly Rae Jepsen,0.648,0.615
5BeaZCKKhjIiuoTOkWVCPZ,afrobeat,"Si, Se Puede",Antibalas,0.692,0.799
4jGvv0UNnfvoOQeuZKNI2T,afrobeat,Superstar,Ice Prince,0.623,0.916
7lkaRVwfvb3ZECsynR5xGo,afrobeat,Sexy Dance (feat.Krys),Fally Ipupa,0.866,0.948
7vRl1b2bJogXJ5pJyP70iz,afrobeat,Djama,Amadou & Mariam,0.879,0.876
1GAVbX6rR2EUPNhmkhuuwW,afrobeat,Ndima ndapedza,Oliver Mtukudzi,0.921,0.83
3wRuMqW2OPpyOnhg3yT3M7,afrobeat,Bobo,Salif Keita,0.767,0.505
7FIKMHuZDDlAx0j8wccvFj,afrobeat,Gomni,Ali Farka Touré,0.673,0.422
64kq7969WB5YTeW61hHmWf,afrobeat,Yefikir Tizita,Mulatu Astatke,0.595,0.275
3mYsWA2ClF84ZLroBpreo1,afrobeat,Pot Belly,Freshlyground,0.311,0.46
5rOHTPNcHiwhQYqNBpRW2x,afrobeat,1er Gaou - Version originale,Magic System,0.943,0.86
3N4gUEMXtxvDhPo5ifI5uX,afrobeat,Spirit of the Forest,Baka Beyond,0.968,0.568
4bt3LdwzNDdqVCo39j01zR,afrobeat,Stephie,Koffi Olomide,0.86,0.652
0uZbMcQP8LWeFKXf1h3KQT,afrobeat,Wily Kataso - feat. Tunde & Kyp of TV On The Radio,Amadou & Mariam,0.882,0.77
7BjvaB3uKVoGTo7DX1RGkZ,afrobeat,This Land,Various Artists,0.172,0.271
57x4pgQBAeNqHcUJz0xfo9,afrobeat,Sumun,Salif Keita,0.864,0.925
7u3iTAPPMwSGI2Qba88Qfy,alt-rock,The Old And The Young,Midlake,0.276,0.783
72HFZtXCLcRwYYQO0kJIvi,alt-rock,Tropical Ice-land,Various Artists,0.651,0.859
72mrNRtJL3kwVJP2WIFbsd,alt-rock,I Don't Know You Anymore,Bob Mould,0.538,0.979
0dADgSWy2Q72BhpR6qLdkW,alt-rock,Take The Skinheads Bowling,Camper Van Beethoven,0.745,0.863
4z4PB23xYTg1oANmyZovsw,alt-rock,Why Can't I?,Liz Phair,0.227,0.759
2HvZX5MAsV0R9eArKzPlt0,alt-rock,Short Skirt / Long Jacket,Various Artists,0.875,0.901
4AEKI30kjodPWWUSmol0tM,alt-rock,Make Out Club,Unrest,0.24,0.978
1jxgzJETkHLUVLenp9xJ7x,alt-rock,Our Jungle,Surf Ninjas,0.267,0.758
3G0kzHUQGkhgWurrYEOQKd,alt-rock,Yesterday Once More,Various Artists,0.44,0.803
1mMe0felnLtY2QjR7VcgrA,alt-rock,Do Or Die,Thirty Seconds To Mars,0.432,0.825
32Cimaqis8qkGRMACGsOkh,alt-rock,I Will Steal You Back,Jimmy Eat World,0.317,0.781
26j2kE8XkFc3oOHDXNKvSX,alt-rock,Matamoros,The Afghan Whigs,0.246,0.765
1WqMWVafmQbUPFOQfuszFC,alt-rock,You're On Fire,They Might Be Giants,0.955,0.836
5mkGfmJGFZpwK9nA5amOhv,alt-rock,Sex & Candy,Marcy Playground,0.63,0.558
3Ib3SJV8ZXuLvDiDb2w1As,alt-rock,Runaway Train,Soul Asylum,0.53,0.714
5tkcQeBaeM1ZoNs2YUOmnz,alt-rock,Same Damn Life,Seether,0.772,0.949
3GEwVGbwzSyLqIvXsrafL8,alt-rock,My Desire,Interpol,0.517,0.787
43ncKp8gVEEKQ0HM9XI8pw,alt-rock,Crazy B*tch,Buckcherry,0.679,0.974
6KtLECDztnah63TNmV4Plw,alt-rock,Wish You Were Here,Incubus,0.35,0.768
5kwVVnZ8ZjJanBbGmrbHsb,alt-rock,She Builds Quick Machines,Velvet Revolver,0.673,0.883
5Wom2duXOmf0RzOG9c27QZ,alt-rock,You and Me,Luscious Jackson,0.828,0.773
2dO66EZj2q67wzTm7UoznP,alt-rock,Waiting,Dismemberment Plan,0.834,0.881
4kHg1mwK390WCePxUeSNzb,alt-rock,Divine Hammer,The Breeders,0.678,0.576
53XBXgtdqf1gmWMm3rqV27,alt-rock,Tribute,Tenacious D,0.422,0.767
5ghIJDpPoe3CfHMGu71E6T,alt-rock,Smells Like Teen Spirit,Nirvana,0.72,0.912
4ZFb9hUWOfdpq0JmbHDLyE,alt-rock,Girlfriend,Matthew Sweet,0.826,0.584
3SMDdwKyNonQwvCYoiFuBn,alt-rock,Crazy Lady,The Vaselines,0.737,0.817
4Mp74fQNcVuFnP5josRUmy,alt-rock,Sisters,The Raveonettes,0.215,0.792
0tQ2LOgku0adqOUeQqSAMC,alt-rock,Do You Realize??,The Flaming Lips,0.563,0.837
3354J49VpkbZJho7Ztdzpw,alt-rock,Jumper - 1998 Edit,Third Eye Blind,0.624,0.543
1mIbZj0uHmRDQKQcZRRikL,alt-rock,Dreams Burn Down - 2001 Remaster,Ride,0.446,0.913
2daWGEfV5nmfEOb53S70Pi,alt-rock,Gone To The Movies,Semisonic,0.612,0.32
7zIHMdEBTHlk6OFSNvfLAa,alt-rock,Psycho,Puddle Of Mudd,0.575,0.907
2YfhATomatu6KrkowVceuR,alt-rock,Range Life,Pavement,0.734,0.728
5Xak5fmy089t0FYmh3VJiY,alt-rock,Black,Pearl Jam,0.2,0.684
625QR3rZtbYlpKm2JisGab,alt-rock,Hedonism (Just Because You Feel Good),Skunk Anansie,0.312,0.536
7dQLapxqvTdWf1E5obJphd,alt-rock,In Its Pull,Half Japanese,0.372,0.942
5fACa4xWFViSWgrcGP9IMF,alt-rock,I Don't Give A Fuck,Buckcherry,0.849,0.83
2WqK4182RvloQDTJojmfVa,alt-rock,I Love A Magician,Dismemberment Plan,0.346,0.994
5gw55IexPLnJMXaGs8s4Tc,alt-rock,I Don't Know Anything,Mad Season,0.436,0.899
77EwrXeCpbMMlWHqhdeFxJ,alt-rock,I Will Dare,The Replacements,0.551,0.932
0jWYqV3YgQ5PjqeZ7qCoOB,alt-rock,If I Were Me,Sound City - Real to Reel,0.361,0.461
5qy1QAKFVfAqYbgp46RSSv,alt-rock,Live to Rise,Various Artists,0.231,0.753
6aT3FVW5SOMP2ixt4giXkz,alt-rock,All Going Out Together,Big Dipper,0.651,0.911
7dSCxR4LqkmxoBrq9MzVSD,alt-rock,Psycho Killer,Talking Heads,0.944,0.401
1Wqhdu7qwp3BNsQMremovv,alt-rock,Devil,Ours,0.213,0.567
4Ze0s4HrArYiz2P6l8qqxh,alt-rock,Pretty Baby,Brendan Benson,0.512,0.439
0q6LuUqGLUiCPP1cbdwFs3,alt-rock,On Melancholy Hill,Gorillaz,0.578,0.739
5ZRgBA12LikIUPgTRoMUrJ,alt-rock,Mantra,Sound City - Real to Reel,0.899,0.664
0CZ48zSBAXNplab4I4T4NN,alt-rock,Total Immersion,Polvo,0.477,0.867
3YuaBvuZqcwN3CEAyyoaei,alt-rock,Like a Stone,Audioslave,0.516,0.568
7rbCL7W893Zonbfnevku5s,alt-rock,I Need My Girl,The National,0.106,0.438
69O12Wz4e6bosZWiYajxQu,alt-rock,All Night Long,Therapy,0.697,0.923
6uhwUETYlW4FUF8ZU7PEMD,alt-rock,Bleed Out,Blue October,0.203,0.803
0nNVR2iDM3eVzEgMi78vQm,alt-rock,Let Me Go,3 Doors Down,0.491,0.863
3zwmW1gM4E8FlHXV5nE16u,alt-rock,Be Yourself,Audioslave,0.317,0.845
6XUuSvFmYeoFCqNsGaedCZ,alt-rock,Everything About You,Ugly Kid Joe,0.773,0.784
5Gtq8e6TEI0YDLemr3PbiM,alt-rock,Harlequin Press,John Vanderslice,0.609,0.457
5QAQxxN163HxD1uU0BrMYM,alt-rock,That's When I Reach For My Revolver,Mission Of Burma,0.51,0.915
7sZD8tOmfRUObogGX8VzfZ,alt-rock,Billie Jean,Chris Cornell,0.408,0.625
0tZ3mElWcr74OOhKEiNz1x,alt-rock,Bulls On Parade,Rage Against The Machine,0.572,0.919
5uDqT9eP1Jfdf7e2p6VIGt,alt-rock,In 'n' Out of Grace,Mudhoney,0.489,0.921
1RYSbUnasW12klBZ9lxWIM,alt-rock,Losing My Religion,R.E.M.,0.82,0.841
4RRPkJgFcmB4AVyVxN2zrb,alt-rock,Amy aka Spent Gladiator 1,The Mountain Goats,0.832,0.834
3I9ShIr2hAM9MjEdjBC0Eu,alt-rock,Wrapped In Blue,The Coral,0.571,0.61
797NMFvQ1wbPr18I6VEgPz,alt-rock,I Will,Sebadoh,0.671,0.859
